scenarios,1
seeds per scenario,20
notes,wifin_alg_mob. 4-100-4
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-28_19:42:48.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-28_19:42:48.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,7,20
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,7,20
97,19.7058,6.60734,8237,8218,4.9978
92,6.82402,7.20681,7812,7597,4.07338
90,2.57566,4.1689,7642,7561,5.27031
88,1.68068,2.93441,7472,7383,16.4196
47,16.708,5.11087,3,3,33.0916
41,2.85695,9.02856,3,3,42.2589
38,8.94646,6.47048,3,3,40.3042
30,7.81375,3.29978,2,2,66.6445
39,7.19636,6.03087,3,3,41.22
49,8.12122,4.5676,4,4,18.6444
43,7.77911,6.4921,3,3,34.4502
43,7.68104,3.05435,3,3,32.2471
35,18.9235,6.23924,2,2,59.4359
32,5.75861,3.28492,2,2,69.5083
47,17.8125,3.11645,3,3,22.7805
43,12.3559,1.72151,3,3,35.907
47,13.4044,6.63499,3,3,27.3999
39,2.33199,7.84704,3,3,42.8808
44,14.9798,9.81128,3,3,30.4511
42,16.0783,8.14825,3,3,46.1919
43,10.3269,6.09847,3,3,30.5667
50,18.6914,0.664084,4,4,17.7905
46,17.0426,1.77422,3,3,25.3143
42,5.00221,2.0515,3,3,43.9105
49,17.3377,3.92676,4,4,15.6198
42,16.6755,1.78956,3,3,37.4173
33,0.198256,7.06927,2,2,56.5215
49,3.35502,6.88841,4,4,12.0369
30,2.50437,6.64761,2,2,67.9184
42,1.19319,3.32234,3,3,39.1097
31,1.81331,7.81129,2,2,63.5071
39,2.01261,2.38093,3,3,43.01
32,2.43821,5.27299,2,2,53.6993
48,13.7617,5.22926,4,4,20.6254
36,1.89628,8.65967,3,3,42.5905
47,18.6602,4.86988,3,3,32.021
42,8.98245,8.7793,3,3,36.9247
47,1.7097,0.504838,3,3,31.174
44,4.03646,8.02916,3,3,36.8785
46,18.9621,7.00127,3,3,26.9974
50,17.31,8.03726,4,4,7.09828
44,14.2227,8.22798,3,3,32.2456
39,7.6515,7.12884,3,3,38.8064
31,16.3872,0.438982,2,2,53.439
35,3.7027,0.0969336,2,2,57.1411
49,1.90557,6.48025,4,4,18.1988
41,18.329,4.51612,3,3,40.0987
50,12.4472,0.151219,4,4,10.3004
45,1.14264,1.47442,3,3,31.4013
41,4.31088,9.52766,3,3,41.0076
36,12.4784,0.569984,3,3,42.7965
50,2.64638,9.33036,4,4,22.9481
36,2.41468,1.69341,3,3,41.5342
47,11.2483,0.634101,3,3,24.4731
42,8.7902,1.60658,3,3,39.7542
32,14.7974,5.77067,2,2,56.9458
37,7.69083,3.19819,3,3,38.9732
47,13.5371,6.11227,3,3,35.9988
36,13.4711,3.13588,3,3,40.2786
47,5.49494,1.77428,3,3,24.6136
42,15.1374,4.66188,3,3,44.7409
30,15.5376,7.78593,2,2,67.5915
46,6.40405,2.65847,3,3,22.2668
44,14.1106,2.90097,3,3,33.6583
50,13.1245,4.63856,4,4,10.6442
42,6.82763,2.04188,3,3,40.5977
39,12.7278,9.64904,3,3,42.7973
50,14.6349,9.82146,4,4,31.0092
42,10.8456,5.003,3,3,38.3916
48,8.99602,0.956404,4,4,17.0398
47,2.3639,8.72878,3,3,33.7035
42,5.16643,0.323704,3,3,44.9054
50,14.2986,4.55723,4,4,8.22464
32,13.9072,1.18799,2,2,53.482
44,9.97266,4.9075,3,3,28.8893
30,16.5935,9.22691,2,2,64.3629
31,19.1169,0.773594,2,2,58.3645
34,2.46748,7.10519,2,2,56.6769
36,6.14728,5.13171,3,3,37.5626
33,5.73972,5.87867,2,2,56.6061
45,9.37353,2.12715,3,3,31.5222
39,4.39095,4.77037,3,3,42.7825
35,9.15407,3.13193,2,2,57.3422
37,8.51746,4.1278,3,3,39.3558
33,13.2332,9.59664,2,2,52.5815
48,16.4911,4.79217,4,4,23.2333
32,1.15548,1.32285,2,2,54.3589
33,15.7316,4.97719,2,2,49.3366
30,9.44277,3.05164,2,2,60.4478
