scenarios,1
seeds per scenario,20
notes,wifin_naive_mob. 6-100-2
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_21:49:23.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
48,15.5581,2.98414,61,61,3.53231
47,15.362,6.1087,59,59,2.01894
35,17.8469,2.47847,44,44,5.18339
35,11.5172,6.56983,44,44,4.88922
41,15.6249,6.23285,52,52,3.42078
35,4.71174,3.44303,44,44,5.62354
43,6.80879,3.26992,54,54,3.63313
35,4.66398,5.69408,44,44,4.91161
44,9.95945,9.6225,56,56,5.00038
49,12.1565,6.2965,62,62,2.854
37,0.653605,2.19694,47,47,3.29089
34,17.3829,1.32812,43,43,4.51493
35,14.0851,3.54844,44,44,4.58862
50,10.0044,4.10301,63,63,2.97642
42,14.6753,7.85346,53,53,3.94596
33,13.3509,3.57906,42,42,5.41986
48,0.396513,4.13848,61,61,3.7777
34,6.71004,3.77682,43,43,4.49112
37,5.00874,3.29516,47,47,3.62243
47,2.38628,6.64467,59,59,2.92995
30,3.62662,5.62257,38,38,4.65512
34,4.02511,4.7618,43,43,4.83367
32,4.87642,0.545933,40,40,4.66755
48,7.52341,0.458516,61,61,3.61292
34,3.79246,7.31933,43,43,4.06526
45,17.3204,9.73971,57,57,3.58663
43,17.9648,7.55861,54,54,3.21244
44,3.4193,1.00968,56,56,4.38421
33,8.07281,6.05827,42,42,5.68577
44,17.9243,4.00254,56,56,4.75878
38,14.6201,6.07448,48,48,3.05591
41,8.44546,6.45595,52,52,3.23716
50,15.303,4.25764,63,63,2.00851
37,12.7745,0.877911,47,47,3.88393
48,7.40529,0.193867,61,61,3.83333
32,3.81104,2.96045,40,40,3.67853
40,16.658,9.03225,50,50,3.60069
47,4.89432,0.302439,59,59,2.4023
31,2.28528,2.94884,39,39,3.646
49,8.62176,9.05528,62,62,3.48971
39,4.95672,1.13991,49,49,2.76908
31,5.29266,8.66073,39,39,3.23705
43,4.82926,3.38678,54,54,3.62144
50,2.49649,1.2682,63,63,2.27786
42,17.5803,3.2131,53,53,4.43292
44,9.59464,1.54133,56,56,4.65773
33,15.3816,6.39637,42,42,4.52637
34,7.07412,2.22449,43,43,4.36007
44,6.94219,6.2717,56,56,3.76004
44,10.9898,3.54856,56,56,3.89533
43,10.2748,9.32371,54,54,3.56819
44,11.0752,5.5718,56,56,4.41066
34,12.808,5.31694,43,43,3.38154
30,8.22121,5.80188,38,38,5.81954
41,6.24883,9.27706,52,52,3.34316
38,13.6552,4.08371,48,48,3.3822
49,5.45553,9.29808,62,62,2.56351
34,9.26979,9.64286,43,43,4.24101
49,1.69128,0.00600433,62,62,2.70763
50,17.9919,1.91281,63,63,2.63861
33,4.72781,7.4575,42,42,4.81798
46,10.3329,0.647356,58,58,2.74907
43,8.59714,9.11446,54,54,3.55229
33,7.81436,2.37599,42,42,4.81138
50,19.9453,9.81501,63,63,3.06412
35,13.187,8.45382,44,44,4.79564
37,18.2337,1.54713,47,47,2.7521
30,4.93495,4.21037,38,38,5.71006
32,12.2946,0.263373,40,40,4.97199
38,11.4793,1.75729,48,48,2.91664
43,18.747,4.2543,54,54,3.73045
36,8.78179,9.54073,45,45,5.32745
39,18.308,6.26386,49,49,3.72034
49,17.0349,8.25554,62,62,3.0809
41,6.46636,9.19323,52,52,2.70649
45,12.9823,9.58428,57,57,3.11852
36,2.31096,2.64569,45,45,5.04567
46,11.4631,9.95437,58,58,2.73292
35,18.8854,6.10328,44,44,4.94426
36,14.5011,0.419162,45,45,4.51509
31,13.9178,2.53979,39,39,2.66523
43,8.73113,1.85892,54,54,3.12361
32,9.89188,8.32628,40,40,4.51197
36,9.32386,5.39627,45,45,4.22165
46,8.50955,7.88122,58,58,3.04985
37,10.7067,0.153417,47,47,3.24235
42,2.36952,8.31931,53,53,4.60108
33,1.13759,8.89749,42,42,5.12404
49,0.756662,5.91011,62,62,3.20872
46,10.7973,2.97064,58,58,2.24404
49,15.355,8.55231,62,62,3.57083
42,9.2585,2.08639,53,53,3.83121
33,11.1644,4.87029,42,42,5.19325
30,7.37885,2.2437,38,38,4.49599
36,17.0847,4.58187,45,45,5.33172
36,15.6511,3.55607,45,45,5.41051
38,2.77297,4.97948,48403,48371,1.48715
28,9.392,6.62309,35665,35647,1.35697
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,161,20
89,19.1174,9.82198,113366,97683,1288.1
97,0.472048,1.62037,123556,82346,1410.59
90,7.72698,2.5067,114640,65462,1323.78
83,5.04184,8.80312,105723,98600,1142.72
82,10.1239,5.3326,104450,95689,921.685
88,8.57076,7.08563,112092,87811,1341.92
40,6.83918,9.41143,50,50,5.41425
42,3.44105,9.89935,53,53,3.5754
34,1.58898,8.09262,43,43,3.78301
31,4.36366,3.70274,39,39,4.55198
36,3.33721,9.47619,45,45,5.55712
45,3.04291,9.163,57,57,5.56579
48,16.7704,8.71771,61,61,4.80659
48,17.2758,9.85475,61,61,4.96626
47,13.4373,9.34924,59,59,3.4366
37,17.0676,5.16454,47,47,3.64454
39,0.213232,9.90491,49,49,3.82307
48,6.99598,3.54112,61,61,3.5992
41,4.93923,9.43378,52,52,3.74784
37,8.23476,4.44476,47,47,3.1781
31,10.9804,8.29536,39,39,3.90054
46,16.0742,1.99215,58,58,2.57601
