scenarios,1
seeds per scenario,20
notes,wifin_1channel. 4-100-4
arg_list[0],"{'txPower': 20, 'nStaB': 100, 'channelWidth': 160, 'simulationTime': 15, 'nStaA': 4, 'constantMcs': 1, 'band': 'AX_5', 'nStaC': 4, 'seed': 1, 'csvFileName': './scratch/testfile_2020-04-18_09:38:18.csv', 'channelNumberA': 50, 'phyModel': 'spectrum', 'mcs': 5, 'gi': 1600}"
arg_list[9],"{'txPower': 20, 'nStaB': 100, 'channelWidth': 160, 'simulationTime': 15, 'nStaA': 4, 'constantMcs': 1, 'band': 'AX_5', 'nStaC': 4, 'seed': 10, 'csvFileName': './scratch/testfile_2020-04-18_09:38:18.csv', 'channelNumberA': 50, 'phyModel': 'spectrum', 'mcs': 5, 'gi': 1600}"
97,19.7058,6.60734,123556,97515,1386.18
92,6.82402,7.20681,117187,116977,17.0412
90,2.57566,4.1689,114640,32249,1388.16
88,1.68068,2.93441,112092,2126,67.0435
47,16.708,5.11087,59,57,55.8831
41,2.85695,9.02856,52,49,81.5647
38,8.94646,6.47048,48,44,131.672
30,7.81375,3.29978,38,37,98.6759
39,7.19636,6.03087,49,22,190.046
49,8.12122,4.5676,62,60,45.7635
43,7.77911,6.4921,54,51,74.7662
43,7.68104,3.05435,54,54,27.591
35,18.9235,6.23924,44,40,138.107
32,5.75861,3.28492,40,37,155.818
47,17.8125,3.11645,59,57,58.6661
43,12.3559,1.72151,54,51,70.4024
47,13.4044,6.63499,59,57,56.7715
39,2.33199,7.84704,49,45,125.569
44,14.9798,9.81128,56,0,-nan
42,16.0783,8.14825,53,51,85.1245
43,10.3269,6.09847,54,51,73.7296
50,18.6914,0.664084,63,63,20.2322
46,17.0426,1.77422,58,56,59.9883
42,5.00221,2.0515,53,50,80.9559
49,17.3377,3.92676,62,60,52.2396
42,16.6755,1.78956,53,50,84.4124
33,0.198256,7.06927,42,40,93.8377
49,3.35502,6.88841,62,57,84.465
30,2.50437,6.64761,38,37,102.413
42,1.19319,3.32234,53,50,77.1701
31,1.81331,7.81129,39,38,98.0889
39,2.01261,2.38093,49,47,90.8161
32,2.43821,5.27299,40,38,97.0623
48,13.7617,5.22926,61,61,23.1974
36,1.89628,8.65967,45,41,136.793
47,18.6602,4.86988,59,57,60.9098
42,8.98245,8.7793,53,50,80.3035
47,1.7097,0.504838,59,57,60.9087
44,4.03646,8.02916,56,54,69.2187
46,18.9621,7.00127,58,56,69.9434
50,17.31,8.03726,63,63,27.6456
44,14.2227,8.22798,56,53,74.0299
39,7.6515,7.12884,49,45,129.831
31,16.3872,0.438982,39,37,105.891
35,3.7027,0.0969336,44,40,139.999
49,1.90557,6.48025,62,62,29.6896
41,18.329,4.51612,52,49,77.5415
50,12.4472,0.151219,63,61,58.7786
45,1.14264,1.47442,57,55,58.6938
41,4.31088,9.52766,52,0,-nan
36,12.4784,0.569984,45,41,139.44
50,2.64638,9.33036,63,63,27.1907
36,2.41468,1.69341,45,43,115.369
47,11.2483,0.634101,59,59,20.3073
42,8.7902,1.60658,53,50,79.882
32,14.7974,5.77067,40,0,-nan
37,7.69083,3.19819,47,43,125.363
47,13.5371,6.11227,59,57,70.9587
36,13.4711,3.13588,45,41,144.82
47,5.49494,1.77428,59,57,62.8655
42,15.1374,4.66188,53,50,84.2972
30,15.5376,7.78593,38,0,-nan
46,6.40405,2.65847,58,0,-nan
44,14.1106,2.90097,56,53,70.0155
50,13.1245,4.63856,63,61,48.6789
42,6.82763,2.04188,53,50,88.8559
39,12.7278,9.64904,49,45,123.961
50,14.6349,9.82146,63,0,-nan
42,10.8456,5.003,53,50,73.5657
48,8.99602,0.956404,61,59,57.981
47,2.3639,8.72878,59,56,72.2134
42,5.16643,0.323704,53,0,-nan
50,14.2986,4.55723,63,61,58.5014
32,13.9072,1.18799,40,38,110.182
44,9.97266,4.9075,56,54,70.5254
30,16.5935,9.22691,38,37,100.859
31,19.1169,0.773594,39,38,118.404
34,2.46748,7.10519,43,41,90.5642
36,6.14728,5.13171,45,41,145.42
33,5.73972,5.87867,42,0,-nan
45,9.37353,2.12715,57,55,64.6097
39,4.39095,4.77037,49,47,91.2709
35,9.15407,3.13193,44,40,135.953
37,8.51746,4.1278,47,45,89.5258
33,13.2332,9.59664,42,40,106.296
48,16.4911,4.79217,61,0,-nan
32,1.15548,1.32285,40,37,146.258
33,15.7316,4.97719,42,42,30.8352
30,9.44277,3.05164,38,37,100.454
36,7.25058,5.20961,45,41,153.39
41,16.9589,6.2699,52,0,-nan
33,14.3656,5.92948,42,40,99.7912
38,4.94599,4.16314,48,41,207.29
44,4.66198,7.69816,56,54,67.456
36,4.25478,8.94061,45,41,138.983
31,15.3534,5.07671,39,39,25.3482
50,11.1848,9.15968,63,61,51.7178
48,10.5688,9.44877,61,59,54.0574
50,10.3783,2.95506,63,63,19.7184
46,15.3986,6.48535,58,0,-nan
31,17.6775,4.27616,39,0,-nan
40,4.62925,6.0432,50,47,80.8642
33,5.58221,2.43517,42,39,144.54
43,13.6894,6.12185,54,51,72.5323
39,18.5423,7.29093,49677,26368,160.288
34,17.8256,1.77806,43308,42881,81.2547
37,1.38654,7.48977,47129,47110,36.5201
21,14.696,8.31155,26749,26707,38.1834
93,19.4116,3.21463,118461,109888,1047.2
84,13.648,4.41356,106997,104088,374.336
100,5.15132,8.3378,127377,110787,1216.88
96,3.36126,5.86877,122283,6431,339.361
44,13.4159,0.221731,56,54,56.3043
31,5.7138,8.05712,39,38,97.3309
47,17.8928,2.94095,59,0,-nan
30,15.6274,6.59957,38,37,101.043
48,14.3926,2.06175,61,58,16.6781
47,16.2424,9.13514,59,57,50.4837
35,15.5581,2.98414,44,40,134.14
35,15.362,6.1087,44,40,135.605
41,17.8469,2.47847,52,50,67.2288
35,11.5172,6.56983,44,41,137.099
43,15.6249,6.23285,54,53,54.5293
35,4.71174,3.44303,44,42,96.7987
44,6.80879,3.26992,56,0,-nan
49,4.66398,5.69408,62,62,14.0434
37,9.95945,9.6225,47,45,78.4688
34,12.1565,6.2965,43,39,154.345
35,0.653605,2.19694,44,40,153.896
50,17.3829,1.32812,63,63,17.5365
42,14.0851,3.54844,53,51,66.6512
33,10.0044,4.10301,42,39,143.123
48,14.6753,7.85346,61,59,53.0657
34,13.3509,3.57906,43,0,-nan
