scenarios,1
seeds per scenario,20
notes,wifin_alg. 4-100-4
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_19:30:40.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,7,20
channelNumber, channelWidth, gi, mcs, txPower
43,7.77911,6.4921,7,7,17.3186
43,7.68104,3.05435,7,7,20.285
35,18.9235,6.23924,5,4,33.8597
32,5.75861,3.28492,5,5,29.8381
47,17.8125,3.11645,7,6,23.3958
43,12.3559,1.72151,7,7,16.8808
47,13.4044,6.63499,7,6,17.76
39,2.33199,7.84704,6,6,25.6831
44,14.9798,9.81128,7,7,21.0944
42,16.0783,8.14825,7,7,25.169
43,10.3269,6.09847,7,7,16.2756
50,18.6914,0.664084,8,8,10.658
46,17.0426,1.77422,7,6,15.8673
42,5.00221,2.0515,7,7,26.8088
49,17.3377,3.92676,8,8,13.0806
42,16.6755,1.78956,7,7,24.643
33,0.198256,7.06927,5,5,25.0543
49,3.35502,6.88841,8,8,9.85632
30,2.50437,6.64761,5,5,35.2136
42,1.19319,3.32234,7,7,22.2288
31,1.81331,7.81129,5,5,29.4776
39,2.01261,2.38093,6,6,23.3484
32,2.43821,5.27299,5,5,30.4882
48,13.7617,5.22926,8,8,13.386
36,1.89628,8.65967,6,6,26.3468
47,18.6602,4.86988,7,6,18.5463
42,8.98245,8.7793,7,7,19.4484
47,1.7097,0.504838,7,6,18.6268
44,4.03646,8.02916,7,6,19.7693
46,18.9621,7.00127,7,6,18.7606
50,17.31,8.03726,8,8,9.90468
44,14.2227,8.22798,7,6,18.6345
39,7.6515,7.12884,6,6,23.0413
31,16.3872,0.438982,5,5,25.2806
35,3.7027,0.0969336,5,4,33.9518
49,1.90557,6.48025,8,8,11.9865
41,18.329,4.51612,6,6,22.7023
50,12.4472,0.151219,8,8,11.9124
45,1.14264,1.47442,7,7,15.9659
41,4.31088,9.52766,6,6,24.5928
36,12.4784,0.569984,6,6,26.4028
50,2.64638,9.33036,8,8,10.5054
36,2.41468,1.69341,6,6,26.3814
47,11.2483,0.634101,7,6,19.7733
42,8.7902,1.60658,7,7,21.56
32,14.7974,5.77067,5,5,26.1817
37,7.69083,3.19819,6,6,20.9478
47,13.5371,6.11227,7,6,23.8639
36,13.4711,3.13588,6,6,26.0966
47,5.49494,1.77428,7,6,17.1643
42,15.1374,4.66188,7,0,-nan
30,15.5376,7.78593,5,5,36.2671
46,6.40405,2.65847,7,6,16.3069
44,14.1106,2.90097,7,6,19.8326
50,13.1245,4.63856,8,8,8.50283
42,6.82763,2.04188,7,7,24.0238
39,12.7278,9.64904,6,6,25.7754
50,14.6349,9.82146,8,8,7.76453
42,10.8456,5.003,7,7,23.988
48,8.99602,0.956404,8,8,12.5704
47,2.3639,8.72878,7,6,14.8153
42,5.16643,0.323704,7,6,24.3653
50,14.2986,4.55723,8,8,10.9973
32,13.9072,1.18799,5,5,25.2069
44,9.97266,4.9075,7,7,14.386
30,16.5935,9.22691,5,5,29.0693
31,19.1169,0.773594,5,5,28.1192
34,2.46748,7.10519,5,4,27.9146
36,6.14728,5.13171,6,6,24.0994
33,5.73972,5.87867,5,5,26.6108
45,9.37353,2.12715,7,6,15.5719
39,4.39095,4.77037,6,6,24.6637
35,9.15407,3.13193,5,4,31.3101
37,8.51746,4.1278,6,6,21.1686
33,13.2332,9.59664,5,4,30.8345
48,16.4911,4.79217,8,8,13.9192
32,1.15548,1.32285,5,4,29.2408
33,15.7316,4.97719,5,4,31.1413
30,9.44277,3.05164,5,5,29.0569
36,7.25058,5.20961,6,6,23.0344
41,16.9589,6.2699,6,6,24.2391
33,14.3656,5.92948,5,4,29.7488
38,4.94599,4.16314,6,6,22.5402
44,4.66198,7.69816,7,6,19.479
36,4.25478,8.94061,6,6,25.7397
31,15.3534,5.07671,5,5,30.0954
50,11.1848,9.15968,8,8,10.2235
48,10.5688,9.44877,8,8,16.9889
50,10.3783,2.95506,8,8,7.96664
46,15.3986,6.48535,7,6,13.0245
31,17.6775,4.27616,5,5,24.3532
40,4.62925,6.0432,6,6,22.3154
33,5.58221,2.43517,5,5,24.6707
43,13.6894,6.12185,7,6,20.5164
39,18.5423,7.29093,6623,6531,16.3183
34,17.8256,1.77806,5774,5694,6.92862
37,1.38654,7.48977,6283,6149,7.09438
21,14.696,8.31155,3566,3499,11.8108
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,3
159,40,800,7,20
97,19.7058,6.60734,24711,24403,6.49753
92,6.82402,7.20681,23437,22727,4.99243
90,2.57566,4.1689,22928,22639,5.12793
88,1.68068,2.93441,22418,22083,6.38018
47,16.708,5.11087,11,9,11.2592
41,2.85695,9.02856,10,9,16.619
38,8.94646,6.47048,9,9,16.0475
30,7.81375,3.29978,7,7,27.6274
39,7.19636,6.03087,9,9,16.4275
49,8.12122,4.5676,12,12,8.97776
43,7.77911,6.4921,10,10,13.2544
43,7.68104,3.05435,10,10,15.4258
35,18.9235,6.23924,8,6,27.6155
32,5.75861,3.28492,8,8,21.067
47,17.8125,3.11645,11,9,19.2447
43,12.3559,1.72151,10,10,13.3512
47,13.4044,6.63499,11,9,13.7312
39,2.33199,7.84704,9,9,20.066
44,14.9798,9.81128,11,11,16.792
42,16.0783,8.14825,10,10,19.0447
43,10.3269,6.09847,10,10,12.2806
50,18.6914,0.664084,12,12,10.2657
46,17.0426,1.77422,11,9,12.6028
42,5.00221,2.0515,10,10,22.7581
49,17.3377,3.92676,12,12,10.6683
42,16.6755,1.78956,10,10,19.3087
33,0.198256,7.06927,8,8,17.4078
49,3.35502,6.88841,12,12,7.68399
30,2.50437,6.64761,7,7,28.3956
42,1.19319,3.32234,10,10,17.5885
31,1.81331,7.81129,7,7,22.4284
39,2.01261,2.38093,9,9,16.4497
32,2.43821,5.27299,8,8,19.9842
48,13.7617,5.22926,12,12,11.0187
36,1.89628,8.65967,9,9,20.1644
47,18.6602,4.86988,11,9,15.0774
42,8.98245,8.7793,10,10,16.454
47,1.7097,0.504838,11,9,15.8051
44,4.03646,8.02916,11,10,16.4731
46,18.9621,7.00127,11,9,14.3526
50,17.31,8.03726,12,12,10.3369
44,14.2227,8.22798,11,10,15.0274
39,7.6515,7.12884,9,9,17.7003
31,16.3872,0.438982,7,7,19.3337
35,3.7027,0.0969336,8,6,26.5399
49,1.90557,6.48025,12,12,9.41072
41,18.329,4.51612,10,9,17.1584
50,12.4472,0.151219,12,12,9.78089
45,1.14264,1.47442,11,11,13.1228
41,4.31088,9.52766,10,9,17.5444
36,12.4784,0.569984,9,9,20.9754
50,2.64638,9.33036,12,12,9.16653
36,2.41468,1.69341,9,9,21.7985
47,11.2483,0.634101,11,9,16.1078
42,8.7902,1.60658,10,10,16.0032
32,14.7974,5.77067,8,8,19.7591
37,7.69083,3.19819,9,9,15.325
47,13.5371,6.11227,11,9,17.3719
36,13.4711,3.13588,9,9,19.2353
47,5.49494,1.77428,11,9,14.0896
42,15.1374,4.66188,10,0,-nan
30,15.5376,7.78593,7,7,30.2014
46,6.40405,2.65847,11,9,12.0817
44,14.1106,2.90097,11,10,14.1141
50,13.1245,4.63856,12,12,9.63674
42,6.82763,2.04188,10,10,18.9852
39,12.7278,9.64904,9,9,19.2543
50,14.6349,9.82146,12,12,8.8778
42,10.8456,5.003,10,10,18.5744
48,8.99602,0.956404,12,12,11.4436
47,2.3639,8.72878,11,9,12.3468
42,5.16643,0.323704,10,9,19.1009
50,14.2986,4.55723,12,12,9.41169
32,13.9072,1.18799,8,8,18.228
44,9.97266,4.9075,11,11,11.4524
30,16.5935,9.22691,7,7,24.6106
31,19.1169,0.773594,7,7,21.8553
34,2.46748,7.10519,8,7,17.7997
36,6.14728,5.13171,9,9,19.5695
33,5.73972,5.87867,8,8,19.1792
45,9.37353,2.12715,11,10,10.1944
39,4.39095,4.77037,9,9,17.8564
35,9.15407,3.13193,8,6,24.8008
37,8.51746,4.1278,9,9,15.0205
33,13.2332,9.59664,8,7,19.1522
48,16.4911,4.79217,12,12,12.6814
32,1.15548,1.32285,8,7,21.1957
33,15.7316,4.97719,8,7,21.0565
30,9.44277,3.05164,7,7,22.667
36,7.25058,5.20961,9,9,17.6976
41,16.9589,6.2699,10,9,17.5934
33,14.3656,5.92948,8,7,19.0169
38,4.94599,4.16314,9,9,16.8528
44,4.66198,7.69816,11,10,15.7966
36,4.25478,8.94061,9,9,20.5519
31,15.3534,5.07671,7,7,22.0436
50,11.1848,9.15968,12,12,9.20536
48,10.5688,9.44877,12,12,13.2959
50,10.3783,2.95506,12,12,7.76813
46,15.3986,6.48535,11,9,10.1891
31,17.6775,4.27616,7,7,19.3539
40,4.62925,6.0432,10,9,19.4398
33,5.58221,2.43517,8,8,18.9933
43,13.6894,6.12185,10,9,15.9495
39,18.5423,7.29093,9935,9756,17.2077
34,17.8256,1.77806,8661,8535,12.8094
37,1.38654,7.48977,9425,9186,9.77357
21,14.696,8.31155,5349,5250,10.7672
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,4
159,40,800,7,20
97,19.7058,6.60734,32948,32414,5.8225
92,6.82402,7.20681,31249,30486,5.04403
90,2.57566,4.1689,30570,30051,5.3303
88,1.68068,2.93441,29891,29355,6.19159
47,16.708,5.11087,15,12,10.1934
41,2.85695,9.02856,13,12,13.5991
38,8.94646,6.47048,12,12,13.1097
30,7.81375,3.29978,10,10,21.1164
39,7.19636,6.03087,13,12,14.3475
49,8.12122,4.5676,16,16,7.53846
43,7.77911,6.4921,14,13,11.4623
43,7.68104,3.05435,14,13,12.5891
35,18.9235,6.23924,11,8,22.3015
32,5.75861,3.28492,10,10,17.3298
47,17.8125,3.11645,15,12,16.0896
43,12.3559,1.72151,14,13,11.6236
47,13.4044,6.63499,15,12,12.5584
39,2.33199,7.84704,13,12,19.5116
44,14.9798,9.81128,14,14,15.2017
42,16.0783,8.14825,14,13,19.196
43,10.3269,6.09847,14,13,10.5462
50,18.6914,0.664084,16,15,9.27438
46,17.0426,1.77422,15,12,10.5982
42,5.00221,2.0515,14,14,18.5645
49,17.3377,3.92676,16,16,10.0602
42,16.6755,1.78956,14,13,20.2662
33,0.198256,7.06927,11,11,15.366
49,3.35502,6.88841,16,16,7.17134
30,2.50437,6.64761,10,10,22.2926
42,1.19319,3.32234,14,14,16.3444
31,1.81331,7.81129,10,9,18.0969
39,2.01261,2.38093,13,12,16.8144
32,2.43821,5.27299,10,10,17.2326
48,13.7617,5.22926,16,16,9.64034
36,1.89628,8.65967,12,12,17.6481
47,18.6602,4.86988,15,12,12.5098
42,8.98245,8.7793,14,14,14.8862
47,1.7097,0.504838,15,12,13.0361
44,4.03646,8.02916,14,13,13.6914
46,18.9621,7.00127,15,12,11.844
50,17.31,8.03726,16,15,9.88095
44,14.2227,8.22798,14,13,12.0741
39,7.6515,7.12884,13,12,14.484
31,16.3872,0.438982,10,9,16.1513
35,3.7027,0.0969336,11,8,22.5667
49,1.90557,6.48025,16,16,8.29317
41,18.329,4.51612,13,12,14.3054
50,12.4472,0.151219,16,15,9.56612
45,1.14264,1.47442,15,15,12.1283
41,4.31088,9.52766,13,12,13.9983
36,12.4784,0.569984,12,12,18.7382
50,2.64638,9.33036,16,15,9.27702
36,2.41468,1.69341,12,12,19.3067
47,11.2483,0.634101,15,12,14.1699
42,8.7902,1.60658,14,14,15.9209
32,14.7974,5.77067,10,10,17.4004
37,7.69083,3.19819,12,12,12.3461
