scenarios,1
seeds per scenario,20
notes,wifin_naive. 6-100-2
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_01:19:25.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 6, 'band': 'AX_5', 'nStaC': 2, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_01:19:25.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,159,40
97,19.7058,6.60734,123556,104093,1164.53
92,6.82402,7.20681,117187,62811,1255.38
90,2.57566,4.1689,114640,83946,1628.62
88,1.68068,2.93441,112092,93638,1253.82
87,16.708,5.11087,110818,97680,1129
96,2.85695,9.02856,122283,86643,1494.12
47,8.94646,6.47048,59,59,2.97132
41,7.81375,3.29978,52,52,2.39178
38,7.19636,6.03087,48,48,3.5479
30,8.12122,4.5676,38,38,6.26696
39,7.77911,6.4921,49,49,4.35123
49,7.68104,3.05435,62,62,2.58131
43,18.9235,6.23924,54,54,3.59675
43,5.75861,3.28492,54,54,2.87234
35,17.8125,3.11645,44,44,4.31063
32,12.3559,1.72151,40,40,3.75326
47,13.4044,6.63499,59,59,3.84849
43,2.33199,7.84704,54,54,3.22306
47,14.9798,9.81128,59,59,3.76184
39,16.0783,8.14825,49,49,4.35279
44,10.3269,6.09847,56,56,3.90055
42,18.6914,0.664084,53,53,5.46982
43,17.0426,1.77422,54,54,2.83865
50,5.00221,2.0515,63,63,2.87904
46,17.3377,3.92676,58,58,2.56642
42,16.6755,1.78956,53,53,6.00026
49,0.198256,7.06927,62,62,2.39472
42,3.35502,6.88841,53,53,4.99661
33,2.50437,6.64761,42,42,4.40547
49,1.19319,3.32234,62,62,3.15762
30,1.81331,7.81129,38,38,5.92602
42,2.01261,2.38093,53,53,5.43496
31,2.43821,5.27299,39,39,3.88017
39,13.7617,5.22926,49,49,3.71259
32,1.89628,8.65967,40,40,4.57559
48,18.6602,4.86988,61,61,4.40969
36,8.98245,8.7793,45,45,4.57483
47,1.7097,0.504838,59,59,4.33355
42,4.03646,8.02916,53,53,5.86684
47,18.9621,7.00127,59,59,4.89103
44,17.31,8.03726,56,56,4.89161
46,14.2227,8.22798,58,58,2.42648
50,7.6515,7.12884,63,63,3.28053
44,16.3872,0.438982,56,56,4.52638
39,3.7027,0.0969336,49,49,3.82722
31,1.90557,6.48025,39,39,3.2802
35,18.329,4.51612,44,44,3.97504
49,12.4472,0.151219,62,62,2.53388
41,1.14264,1.47442,52,52,3.5471
50,4.31088,9.52766,63,63,3.51327
45,12.4784,0.569984,57,57,3.72968
41,2.64638,9.33036,52,52,3.75319
36,2.41468,1.69341,45,45,5.39341
50,11.2483,0.634101,63,63,2.90977
