scenarios,1
seeds per scenario,20
notes,wifin_naive. 2-100-6
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_16:07:20.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
35,15.362,6.1087,44,44,5.7379
43,17.8469,2.47847,54,54,4.01858
35,11.5172,6.56983,44,44,4.96687
44,15.6249,6.23285,56,56,4.31729
49,4.71174,3.44303,62,62,3.33024
37,6.80879,3.26992,47,47,3.28662
34,4.66398,5.69408,43,43,3.9609
35,9.95945,9.6225,44,44,5.19914
50,12.1565,6.2965,63,63,2.71439
42,0.653605,2.19694,53,53,4.51165
33,17.3829,1.32812,42,42,5.22337
48,14.0851,3.54844,61,61,3.01762
34,10.0044,4.10301,43,43,4.1531
37,14.6753,7.85346,47,47,3.90352
47,13.3509,3.57906,59,59,2.16581
30,0.396513,4.13848,38,38,5.12995
34,6.71004,3.77682,43,43,3.86524
32,5.00874,3.29516,40,40,5.31565
48,2.38628,6.64467,61,61,3.39251
34,3.62662,5.62257,43,43,4.51166
45,4.02511,4.7618,57,57,2.89983
43,4.87642,0.545933,54,54,4.08886
44,7.52341,0.458516,56,56,4.24369
33,3.79246,7.31933,42,42,5.82955
44,17.3204,9.73971,56,56,5.11844
38,17.9648,7.55861,48,48,2.96583
41,3.4193,1.00968,52,52,2.98358
50,8.07281,6.05827,63,63,2.37265
37,17.9243,4.00254,47,47,3.70597
48,14.6201,6.07448,61,61,4.101
32,8.44546,6.45595,40,40,4.90666
40,15.303,4.25764,50,50,3.5005
47,12.7745,0.877911,59,59,2.46784
31,7.40529,0.193867,39,39,3.48711
49,3.81104,2.96045,62,62,2.85267
39,16.658,9.03225,49,49,3.50462
31,4.89432,0.302439,39,39,4.02783
43,2.28528,2.94884,54,54,3.0505
50,8.62176,9.05528,63,63,2.73813
42,4.95672,1.13991,53,53,4.41964
44,5.29266,8.66073,56,56,5.31447
33,4.82926,3.38678,42,42,5.04761
34,2.49649,1.2682,43,43,3.87978
44,17.5803,3.2131,56,56,4.17099
44,9.59464,1.54133,56,56,4.45643
43,15.3816,6.39637,54,54,3.68968
44,7.07412,2.22449,56,56,4.16722
34,6.94219,6.2717,43,43,3.62582
30,10.9898,3.54856,38,38,6.42885
41,10.2748,9.32371,52,52,3.37533
38,11.0752,5.5718,48,48,1.7571
49,12.808,5.31694,62,62,3.66759
34,8.22121,5.80188,43,43,4.83375
49,6.24883,9.27706,62,62,2.85628
50,13.6552,4.08371,63,63,2.62235
33,5.45553,9.29808,42,42,4.01498
46,9.26979,9.64286,58,58,2.52205
43,1.69128,0.00600433,54,54,3.86546
33,17.9919,1.91281,42,42,4.97948
50,4.72781,7.4575,63,63,2.58093
35,10.3329,0.647356,44,44,4.56571
37,8.59714,9.11446,47,47,3.40051
30,7.81436,2.37599,38,38,4.84176
32,19.9453,9.81501,40,40,3.6741
38,13.187,8.45382,48,48,2.47001
43,18.2337,1.54713,54,54,3.04398
36,4.93495,4.21037,45,45,4.51357
39,12.2946,0.263373,49,49,2.45262
49,11.4793,1.75729,62,62,3.18214
41,18.747,4.2543,52,52,3.1042
45,8.78179,9.54073,57,57,3.20633
36,18.308,6.26386,45,45,4.12716
46,17.0349,8.25554,58,58,2.7565
35,6.46636,9.19323,44,44,4.96793
36,12.9823,9.58428,45,45,4.09885
31,2.31096,2.64569,39,39,3.34123
43,11.4631,9.95437,54,54,3.38915
32,18.8854,6.10328,40,40,4.78781
36,14.5011,0.419162,45,45,4.81127
46,13.9178,2.53979,58,58,2.21984
37,8.73113,1.85892,47,47,3.20988
42,9.89188,8.32628,53,53,4.42563
33,9.32386,5.39627,42,42,4.60003
49,8.50955,7.88122,62,62,2.90353
46,10.7067,0.153417,58,58,2.84583
49,2.36952,8.31931,62,62,3.15466
42,1.13759,8.89749,53,53,4.93399
33,0.756662,5.91011,42,42,5.75829
30,10.7973,2.97064,38,38,5.4373
36,15.355,8.55231,45,45,5.31457
36,9.2585,2.08639,45,45,5.02548
38,11.1644,4.87029,48403,48356,11.1258
28,7.37885,2.2437,35665,35659,15.4326
34,17.0847,4.58187,43308,43207,33.8288
23,15.6511,3.55607,29296,29288,29.3895
23,2.77297,4.97948,29296,29281,17.7293
37,9.392,6.62309,47129,47092,7.78351
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
42,80,100,20,155,80
89,19.1174,9.82198,113366,113335,2.40111
97,0.472048,1.62037,123556,123462,2.465
40,7.72698,2.5067,50,50,6.02999
42,5.04184,8.80312,53,53,4.33856
34,10.1239,5.3326,43,43,3.45916
31,8.57076,7.08563,39,39,4.23932
36,6.83918,9.41143,45,45,4.72626
45,3.44105,9.89935,57,57,5.36965
48,1.58898,8.09262,61,61,4.76274
48,4.36366,3.70274,61,61,4.55878
47,3.33721,9.47619,59,59,3.39526
37,3.04291,9.163,47,47,4.26341
39,16.7704,8.71771,49,49,4.47145
48,17.2758,9.85475,61,61,4.88597
41,13.4373,9.34924,52,52,3.67461
37,17.0676,5.16454,47,47,4.2
31,0.213232,9.90491,39,39,3.10129
46,6.99598,3.54112,58,58,2.66943
49,4.93923,9.43378,62,62,3.77289
49,8.23476,4.44476,62,62,2.45141
38,10.9804,8.29536,48,48,3.67093
45,16.0742,1.99215,57,57,5.35113
47,11.1276,5.32266,59,59,2.81955
