scenarios,1
seeds per scenario,20
notes,wifin_naive_mob. 4-100-4
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 4, 'band': 'AX_5', 'nStaC': 4, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_15:36:28.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 4, 'band': 'AX_5', 'nStaC': 4, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_15:36:28.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,155,80
97,19.7058,6.60734,123556,123542,17.0579
92,6.82402,7.20681,117187,117079,28.235
90,2.57566,4.1689,114640,114570,20.7914
88,1.68068,2.93441,112092,112040,22.0419
47,16.708,5.11087,59,59,3.73363
41,2.85695,9.02856,52,52,4.1022
38,8.94646,6.47048,48,48,3.17635
30,7.81375,3.29978,38,38,4.44798
39,7.19636,6.03087,49,49,4.18448
49,8.12122,4.5676,62,62,2.75685
43,7.77911,6.4921,54,54,3.16938
43,7.68104,3.05435,54,54,2.83896
35,18.9235,6.23924,44,44,4.12531
32,5.75861,3.28492,40,40,5.51101
47,17.8125,3.11645,59,59,4.14134
43,12.3559,1.72151,54,54,3.09631
47,13.4044,6.63499,59,59,4.20371
39,2.33199,7.84704,49,49,4.30514
44,14.9798,9.81128,56,56,3.82441
42,16.0783,8.14825,53,53,6.03881
43,10.3269,6.09847,54,54,2.83284
50,18.6914,0.664084,63,63,3.57584
46,17.0426,1.77422,58,58,2.28696
42,5.00221,2.0515,53,53,4.79773
49,17.3377,3.92676,62,62,2.70906
42,16.6755,1.78956,53,53,5.78633
33,0.198256,7.06927,42,42,4.7409
49,3.35502,6.88841,62,62,2.81842
30,2.50437,6.64761,38,38,6.65876
42,1.19319,3.32234,53,53,6.50078
31,1.81331,7.81129,39,39,3.58379
39,2.01261,2.38093,49,49,4.10904
32,2.43821,5.27299,40,40,4.43347
48,13.7617,5.22926,61,61,3.73488
36,1.89628,8.65967,45,45,5.44796
47,18.6602,4.86988,59,59,4.23159
42,8.98245,8.7793,53,53,5.13376
47,1.7097,0.504838,59,59,4.61942
44,4.03646,8.02916,56,56,4.36637
46,18.9621,7.00127,58,58,3.02189
50,17.31,8.03726,63,63,3.75167
44,14.2227,8.22798,56,56,4.6444
39,7.6515,7.12884,49,49,5.1338
31,16.3872,0.438982,39,39,3.68559
35,3.7027,0.0969336,44,44,4.32003
49,1.90557,6.48025,62,62,2.34013
41,18.329,4.51612,52,52,3.67071
50,12.4472,0.151219,63,63,3.50404
45,1.14264,1.47442,57,57,3.70379
41,4.31088,9.52766,52,52,3.34883
36,12.4784,0.569984,45,45,5.97393
50,2.64638,9.33036,63,63,4.26937
36,2.41468,1.69341,45,45,5.57807
47,11.2483,0.634101,59,59,3.39834
42,8.7902,1.60658,53,0,-nan
32,14.7974,5.77067,40,40,4.15206
37,7.69083,3.19819,47,47,2.39163
47,13.5371,6.11227,59,59,4.67925
36,13.4711,3.13588,45,45,4.80651
47,5.49494,1.77428,59,59,3.39874
42,15.1374,4.66188,53,53,5.83418
30,15.5376,7.78593,38,38,6.37908
46,6.40405,2.65847,58,58,2.4829
44,14.1106,2.90097,56,56,4.52139
50,13.1245,4.63856,63,63,3.63848
42,6.82763,2.04188,53,53,4.51386
39,12.7278,9.64904,49,49,4.68573
50,14.6349,9.82146,63,63,3.99612
42,10.8456,5.003,53,53,4.59164
48,8.99602,0.956404,61,61,3.48172
47,2.3639,8.72878,59,59,4.70377
42,5.16643,0.323704,53,53,5.8988
50,14.2986,4.55723,63,63,2.70988
32,13.9072,1.18799,40,40,5.18708
44,9.97266,4.9075,56,56,3.26443
30,16.5935,9.22691,38,38,6.29403
31,19.1169,0.773594,39,39,3.23268
34,2.46748,7.10519,43,43,1.89537
36,6.14728,5.13171,45,45,5.31814
33,5.73972,5.87867,42,42,4.68061
45,9.37353,2.12715,57,57,3.17287
39,4.39095,4.77037,49,49,3.76326
35,9.15407,3.13193,44,44,4.15378
37,8.51746,4.1278,47,47,2.6267
33,13.2332,9.59664,42,42,4.77583
48,16.4911,4.79217,61,61,4.45742
32,1.15548,1.32285,40,40,3.75465
33,15.7316,4.97719,42,42,4.39684
30,9.44277,3.05164,38,38,6.0007
36,7.25058,5.20961,45,45,4.83935
41,16.9589,6.2699,52,52,4.02152
33,14.3656,5.92948,42,42,4.89801
38,4.94599,4.16314,48,48,3.80388
44,4.66198,7.69816,56,56,4.62089
36,4.25478,8.94061,45,45,4.71279
31,15.3534,5.07671,39,39,4.08121
50,11.1848,9.15968,63,63,3.59553
48,10.5688,9.44877,61,61,3.93902
50,10.3783,2.95506,63,63,3.66584
46,15.3986,6.48535,58,58,2.51732
31,17.6775,4.27616,39,39,3.29932
40,4.62925,6.0432,50,50,4.58913
33,5.58221,2.43517,42,42,5.02345
43,13.6894,6.12185,54,54,3.07903
39,18.5423,7.29093,49677,49655,3.88496
34,17.8256,1.77806,43308,43257,4.12076
37,1.38654,7.48977,47129,47094,3.21697
21,14.696,8.31155,26749,26723,3.05035
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,159,40
93,19.4116,3.21463,118461,118405,23.9412
84,13.648,4.41356,106997,106921,35.7722
100,5.15132,8.3378,127377,126634,77.7416
96,3.36126,5.86877,122283,122206,23.4727
44,13.4159,0.221731,56,56,4.43685
31,5.7138,8.05712,39,39,3.7492
47,17.8928,2.94095,59,59,2.75373
30,15.6274,6.59957,38,38,4.7945
48,14.3926,2.06175,61,61,4.09156
47,16.2424,9.13514,59,59,2.47166
35,15.5581,2.98414,44,44,5.05836
35,15.362,6.1087,44,44,5.67703
41,17.8469,2.47847,52,52,3.11764
35,11.5172,6.56983,44,44,5.11579
43,15.6249,6.23285,54,54,3.68989
35,4.71174,3.44303,44,44,4.90195
44,6.80879,3.26992,56,56,4.13976
49,4.66398,5.69408,62,62,3.49589
37,9.95945,9.6225,47,47,2.93524
34,12.1565,6.2965,43,43,4.41945
35,0.653605,2.19694,44,44,5.14319
50,17.3829,1.32812,63,63,2.59164
42,14.0851,3.54844,53,53,4.05015
33,10.0044,4.10301,42,42,4.11764
48,14.6753,7.85346,61,61,3.67567
34,13.3509,3.57906,43,43,3.95548
37,0.396513,4.13848,47,47,3.52725
47,6.71004,3.77682,59,59,2.154
30,5.00874,3.29516,38,38,5.25685
34,2.38628,6.64467,43,43,4.21725
32,3.62662,5.62257,40,40,5.03489
48,4.02511,4.7618,61,61,4.11279
34,4.87642,0.545933,43,43,4.20514
45,7.52341,0.458516,57,57,3.14537
43,3.79246,7.31933,54,54,3.109
44,17.3204,9.73971,56,56,4.7979
33,17.9648,7.55861,42,42,5.28621
44,3.4193,1.00968,56,56,3.97724
38,8.07281,6.05827,48,48,2.71756
41,17.9243,4.00254,52,52,2.39868
50,14.6201,6.07448,63,63,3.0781
37,8.44546,6.45595,47,47,2.91315
48,15.303,4.25764,61,61,3.75657
32,12.7745,0.877911,40,40,3.68498
40,7.40529,0.193867,50,50,3.24965
47,3.81104,2.96045,59,59,2.04766
31,16.658,9.03225,39,39,3.66517
49,4.89432,0.302439,62,62,3.40802
39,2.28528,2.94884,49,49,2.99147
31,8.62176,9.05528,39,39,2.94165
43,4.95672,1.13991,54,54,3.11646
50,5.29266,8.66073,63,63,1.98101
42,4.82926,3.38678,53,53,3.85143
44,2.49649,1.2682,56,56,4.67769
33,17.5803,3.2131,42,42,5.13693
34,9.59464,1.54133,43,43,3.62169
44,15.3816,6.39637,56,56,4.7756
44,7.07412,2.22449,56,56,4.75777
43,6.94219,6.2717,54,54,4.14605
44,10.9898,3.54856,56,56,4.20226
34,10.2748,9.32371,43,43,3.84038
30,11.0752,5.5718,38,38,5.16801
41,12.808,5.31694,52,52,3.0454
38,8.22121,5.80188,48,48,2.64463
49,6.24883,9.27706,62,62,3.1122
34,13.6552,4.08371,43,43,4.64778
49,5.45553,9.29808,62,62,2.56897
50,9.26979,9.64286,63,63,2.96785
33,1.69128,0.00600433,42,42,5.29293
46,17.9919,1.91281,58,58,2.62977
43,4.72781,7.4575,54,54,3.87816
33,10.3329,0.647356,42,42,4.66636
50,8.59714,9.11446,63,63,2.47482
35,7.81436,2.37599,44,44,3.84842
37,19.9453,9.81501,47,47,3.32889
30,13.187,8.45382,38,38,4.48405
32,18.2337,1.54713,40,40,5.28658
38,4.93495,4.21037,48,48,2.50792
43,12.2946,0.263373,54,54,3.35431
36,11.4793,1.75729,45,45,5.31415
39,18.747,4.2543,49,49,2.92717
49,8.78179,9.54073,62,62,3.42559
41,18.308,6.26386,52,52,3.20483
45,17.0349,8.25554,57,57,3.66531
36,6.46636,9.19323,45,45,4.1706
46,12.9823,9.58428,58,58,3.54271
35,2.31096,2.64569,44,44,4.72464
36,11.4631,9.95437,45,45,4.44661
31,18.8854,6.10328,39,39,3.02298
43,14.5011,0.419162,54,54,2.9189
32,13.9178,2.53979,40,40,5.21549
36,8.73113,1.85892,45,45,4.54012
46,9.89188,8.32628,58,58,2.33313
37,9.32386,5.39627,47,47,2.97533
42,8.50955,7.88122,53,53,3.6671
33,10.7067,0.153417,42,42,4.85488
49,2.36952,8.31931,62,62,3.29984
46,1.13759,8.89749,58,58,2.31328
49,0.756662,5.91011,62,62,2.69814
42,10.7973,2.97064,53,53,3.23771
33,15.355,8.55231,42,42,4.64077
30,9.2585,2.08639,38,38,5.95807
36,11.1644,4.87029,45,45,5.50896
36,7.37885,2.2437,45,45,4.91522
38,17.0847,4.58187,48403,43614,875.662
28,15.6511,3.55607,35665,35378,214.578
34,2.77297,4.97948,43308,41752,299.536
23,9.392,6.62309,29296,29264,21.2566
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,159,40
89,19.1174,9.82198,113366,113341,13.263
97,0.472048,1.62037,123556,123440,27.7162
90,7.72698,2.5067,114640,114595,36.2511
83,5.04184,8.80312,105723,105614,15.2845
40,10.1239,5.3326,50,50,5.04797
42,8.57076,7.08563,53,53,4.42361
34,6.83918,9.41143,43,43,2.63433
31,3.44105,9.89935,39,39,4.11992
36,1.58898,8.09262,45,45,6.66231
45,4.36366,3.70274,57,57,5.79355
48,3.33721,9.47619,61,61,4.606
48,3.04291,9.163,61,61,5.14435
47,16.7704,8.71771,59,59,3.29346
37,17.2758,9.85475,47,47,3.87523
39,13.4373,9.34924,49,49,3.50596
48,17.0676,5.16454,61,61,5.10263
41,0.213232,9.90491,52,52,4.35334
37,6.99598,3.54112,47,47,3.96042
31,4.93923,9.43378,39,39,3.70166
46,8.23476,4.44476,58,58,1.72317
49,10.9804,8.29536,62,62,2.53139
49,16.0742,1.99215,62,62,2.86827
38,11.1276,5.32266,48,48,3.86811
45,15.0065,6.15451,57,57,6.37742
47,12.0129,1.78017,59,59,3.38414
47,10.0263,5.36857,59,59,2.74339
41,0.594769,1.20769,52,52,4.06426
45,10.065,0.665229,57,57,5.23977
31,7.51311,9.94272,39,39,3.35383
47,3.57947,9.96701,59,59,3.19533
33,5.43983,3.4338,42,42,4.065
36,6.03761,7.14268,45,45,6.12113
36,7.31453,5.81893,45,45,4.75467
42,1.28512,5.68777,53,53,3.49754
50,5.68864,5.979,63,63,3.3854
40,15.9806,4.6096,50,50,4.90436
45,6.94713,6.33791,57,57,5.17075
40,5.1289,1.51451,50,50,5.23848
32,12.1092,4.08738,40,40,3.40872
37,16.8863,1.00376,47,47,3.27191
50,11.9301,4.11174,63,63,3.14842
30,2.66809,4.68393,38,38,5.9943
36,2.95441,1.38643,45,45,5.23705
34,9.16171,1.31684,43,43,3.52697
45,11.1079,0.290801,57,57,5.12052
45,5.7165,9.4407,57,57,4.65044
43,14.9869,3.54837,54,54,3.33133
48,17.3414,0.453658,61,61,4.19452
33,3.42793,4.42321,42,42,3.78368
43,12.9326,8.58289,54,54,3.04105
49,17.435,1.70985,62,62,3.15375
50,7.93894,7.99104,63,63,3.25299
48,7.24394,5.08014,61,61,4.28102
41,13.7447,1.90225,52,52,3.49418
45,6.3704,4.81968,57,57,4.73832
36,4.3919,7.312,45,45,5.10545
30,3.07228,9.59451,38,38,6.35863
41,0.611121,8.3367,52,52,3.76665
50,0.413331,9.40752,63,63,3.40636
41,16.4847,5.32284,52,52,3.91884
46,5.41212,3.98559,58,58,2.7735
30,6.61282,3.35768,38,38,7.19118
37,19.2119,7.97536,47,47,4.12808
32,2.33182,8.70284,40,40,4.32671
48,19.3732,3.91556,61,61,4.66475
47,0.482683,6.12559,59,59,2.94152
38,18.1832,8.94706,48,48,4.15619
50,3.90458,9.46427,63,63,3.02586
45,12.5368,5.00901,57,57,5.21891
44,6.98785,2.86921,56,56,3.29309
39,7.09171,6.18622,49,49,4.87341
45,15.4992,0.971008,57,57,5.15658
49,2.89565,3.67169,62,62,3.05963
37,1.72154,3.56398,47,47,4.16956
31,9.91798,4.72246,39,39,3.70794
31,9.78044,7.68073,39,39,3.18922
33,17.3505,2.32068,42,0,-nan
42,7.40233,1.31556,53,53,3.42144
49,18.4418,5.39503,62,62,2.73929
40,17.219,7.63591,50,50,5.6604
33,8.12038,6.38145,42,42,3.7347
38,13.1726,4.3111,48,48,4.42763
47,7.46209,9.39579,59,59,3.39534
31,5.55239,2.38333,39,39,3.68124
39,19.6995,8.78982,49,49,4.48786
43,9.47327,4.3764,54,54,3.00526
38,3.46633,3.96854,48,48,4.23724
39,7.19473,4.93156,49,49,4.51034
31,8.3282,9.15492,39,39,3.41553
50,1.75153,5.62872,63,63,2.44133
43,10.8768,8.80964,54,54,3.09119
39,3.09669,7.78835,49,49,3.98375
34,14.8379,2.48942,43,43,3.64788
30,13.9857,3.09438,38,38,6.40776
49,12.7643,6.82177,62,62,2.8155
35,6.06005,5.23007,44,44,4.26324
48,13.5543,7.47899,61,61,4.56284
44,11.7063,8.34621,56,56,2.93929
48,11.1349,8.86512,61,61,4.70812
38,6.19582,9.45599,48,48,3.26717
35,13.0325,2.82847,44,44,4.04453
41,13.8876,8.12954,52,52,3.39802
40,16.7466,7.30546,50,50,5.54902
50,1.06827,8.36555,63,63,2.75495
