scenarios,1
seeds per scenario,20
notes,wifin_1channel_mob. 4-100-4
arg_list[0],"{'txPower': 20, 'nStaB': 100, 'channelWidth': 160, 'simulationTime': 15, 'nStaA': 4, 'constantMcs': 1, 'band': 'AX_5', 'nStaC': 4, 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-24_22:08:10.csv', 'channelNumberA': 50, 'phyModel': 'spectrum', 'mcs': 5, 'gi': 1600}"
arg_list[9],"{'txPower': 20, 'nStaB': 100, 'channelWidth': 160, 'simulationTime': 15, 'nStaA': 4, 'constantMcs': 1, 'band': 'AX_5', 'nStaC': 4, 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-24_22:08:10.csv', 'channelNumberA': 50, 'phyModel': 'spectrum', 'mcs': 5, 'gi': 1600}"
97,19.7058,6.60734,123556,1494,41.8121
92,6.82402,7.20681,117187,116235,226.842
90,2.57566,4.1689,114640,3857,169.251
88,1.68068,2.93441,112092,106193,670.586
47,16.708,5.11087,59,56,67.9811
41,2.85695,9.02856,52,47,118.986
38,8.94646,6.47048,48,44,126.386
30,7.81375,3.29978,38,35,174.954
39,7.19636,6.03087,49,45,122.096
49,8.12122,4.5676,62,56,99.7364
43,7.77911,6.4921,54,51,79.5442
43,7.68104,3.05435,54,49,114.193
35,18.9235,6.23924,44,42,91.9663
32,5.75861,3.28492,40,40,32.252
47,17.8125,3.11645,59,56,74.1184
43,12.3559,1.72151,54,51,76.8604
47,13.4044,6.63499,59,56,80.4085
39,2.33199,7.84704,49,45,127.362
44,14.9798,9.81128,56,56,21.569
42,16.0783,8.14825,53,48,124.666
43,10.3269,6.09847,54,51,79.7265
50,18.6914,0.664084,63,63,19.2077
46,17.0426,1.77422,58,55,72.2328
42,5.00221,2.0515,53,48,121.187
49,17.3377,3.92676,62,0,-nan
42,16.6755,1.78956,53,0,-nan
33,0.198256,7.06927,42,38,164.492
49,3.35502,6.88841,62,59,63.3702
30,2.50437,6.64761,38,38,26.8952
42,1.19319,3.32234,53,47,144.919
31,1.81331,7.81129,39,35,172.664
39,2.01261,2.38093,49,45,135.085
32,2.43821,5.27299,40,36,163.736
48,13.7617,5.22926,61,58,70.0185
36,1.89628,8.65967,45,41,139.608
47,18.6602,4.86988,59,56,72.5443
42,8.98245,8.7793,53,48,118.807
47,1.7097,0.504838,59,56,71.8342
44,4.03646,8.02916,56,0,-nan
46,18.9621,7.00127,58,55,73.2216
50,17.31,8.03726,63,61,49.2756
44,14.2227,8.22798,56,53,74.1553
39,7.6515,7.12884,49,43,160.466
31,16.3872,0.438982,39,35,184.792
35,3.7027,0.0969336,44,40,137.551
49,1.90557,6.48025,62,59,64.0901
41,18.329,4.51612,52,47,123.348
50,12.4472,0.151219,63,61,45.7435
45,1.14264,1.47442,57,57,20.5047
41,4.31088,9.52766,52,47,127.346
36,12.4784,0.569984,45,41,138.124
50,2.64638,9.33036,63,60,66.6783
36,2.41468,1.69341,45,43,95.6263
47,11.2483,0.634101,59,56,72.445
42,8.7902,1.60658,53,48,124.14
32,14.7974,5.77067,40,36,163.227
37,7.69083,3.19819,47,43,133.684
47,13.5371,6.11227,59,56,69.9625
36,13.4711,3.13588,45,45,25.1521
47,5.49494,1.77428,59,55,85.1227
42,15.1374,4.66188,53,50,84.2765
30,15.5376,7.78593,38,35,180.902
46,6.40405,2.65847,58,55,74.3286
44,14.1106,2.90097,56,0,-nan
50,13.1245,4.63856,63,63,21.5219
42,6.82763,2.04188,53,48,114.609
39,12.7278,9.64904,49,45,130.257
50,14.6349,9.82146,63,0,-nan
42,10.8456,5.003,53,48,112.496
48,8.99602,0.956404,61,58,65.9064
47,2.3639,8.72878,59,0,-nan
42,5.16643,0.323704,53,0,-nan
50,14.2986,4.55723,63,60,69.9154
32,13.9072,1.18799,40,36,173.355
44,9.97266,4.9075,56,56,33.2237
30,16.5935,9.22691,38,35,169.546
31,19.1169,0.773594,39,35,176.729
34,2.46748,7.10519,43,39,144.506
36,6.14728,5.13171,45,45,24.7774
33,5.73972,5.87867,42,38,156.157
45,9.37353,2.12715,57,54,74.6612
39,4.39095,4.77037,49,45,133.046
35,9.15407,3.13193,44,28,36.3957
37,8.51746,4.1278,47,43,141.825
33,13.2332,9.59664,42,38,157.305
48,16.4911,4.79217,61,58,67.2976
32,1.15548,1.32285,40,0,-nan
33,15.7316,4.97719,42,0,-nan
30,9.44277,3.05164,38,35,174.567
36,7.25058,5.20961,45,41,134.909
41,16.9589,6.2699,52,47,126.331
33,14.3656,5.92948,42,38,160.26
38,4.94599,4.16314,48,44,125.195
44,4.66198,7.69816,56,53,76.213
36,4.25478,8.94061,45,43,92.6159
31,15.3534,5.07671,39,0,-nan
50,11.1848,9.15968,63,63,18.7524
48,10.5688,9.44877,61,58,74.6534
50,10.3783,2.95506,63,61,49.6445
46,15.3986,6.48535,58,55,71.336
31,17.6775,4.27616,39,36,165.421
40,4.62925,6.0432,50,45,125.313
33,5.58221,2.43517,42,42,23.9591
43,13.6894,6.12185,54,49,128.042
39,18.5423,7.29093,49677,49640,32.53
34,17.8256,1.77806,43308,43174,31.061
37,1.38654,7.48977,47129,47063,33.5981
21,14.696,8.31155,26749,26708,32.3586
93,19.4116,3.21463,118461,0,-nan
84,13.648,4.41356,106997,36797,170.137
100,5.15132,8.3378,127377,120500,786.466
96,3.36126,5.86877,122283,115644,899.018
44,13.4159,0.221731,56,0,-nan
31,5.7138,8.05712,39,0,-nan
47,17.8928,2.94095,59,0,-nan
30,15.6274,6.59957,38,35,146.326
48,14.3926,2.06175,61,59,43.8271
