scenarios,1
seeds per scenario,20
notes,wifin_naive. 4-100-4
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 4, 'band': 'AX_5', 'nStaC': 4, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_10:39:40.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 4, 'band': 'AX_5', 'nStaC': 4, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-04-17_10:39:40.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,155,80
97,19.7058,6.60734,123556,123463,18.8281
92,6.82402,7.20681,117187,117014,18.6252
90,2.57566,4.1689,114640,114633,14.6058
88,1.68068,2.93441,112092,111985,21.7023
47,16.708,5.11087,59,59,3.56858
41,2.85695,9.02856,52,52,3.24836
38,8.94646,6.47048,48,48,3.10739
30,7.81375,3.29978,38,38,4.22911
39,7.19636,6.03087,49,49,4.07814
49,8.12122,4.5676,62,62,2.99277
43,7.77911,6.4921,54,54,3.58376
43,7.68104,3.05435,54,54,3.13608
35,18.9235,6.23924,44,44,4.37073
32,5.75861,3.28492,40,40,5.41592
47,17.8125,3.11645,59,59,3.80265
43,12.3559,1.72151,54,54,2.92754
47,13.4044,6.63499,59,59,3.9708
39,2.33199,7.84704,49,49,4.17542
44,14.9798,9.81128,56,0,-nan
42,16.0783,8.14825,53,53,6.34092
43,10.3269,6.09847,54,54,2.98921
50,18.6914,0.664084,63,63,3.15633
46,17.0426,1.77422,58,58,2.84336
42,5.00221,2.0515,53,53,5.34802
49,17.3377,3.92676,62,62,2.73113
42,16.6755,1.78956,53,53,6.5905
33,0.198256,7.06927,42,42,4.25954
49,3.35502,6.88841,62,62,3.17038
30,2.50437,6.64761,38,38,5.5545
42,1.19319,3.32234,53,53,6.08849
31,1.81331,7.81129,39,39,3.49212
39,2.01261,2.38093,49,49,4.41755
32,2.43821,5.27299,40,40,4.99504
48,13.7617,5.22926,61,61,3.9759
36,1.89628,8.65967,45,45,5.81493
47,18.6602,4.86988,59,59,4.12578
42,8.98245,8.7793,53,53,4.69453
47,1.7097,0.504838,59,59,3.84049
44,4.03646,8.02916,56,56,3.9881
46,18.9621,7.00127,58,58,3.2851
50,17.31,8.03726,63,63,4.6008
44,14.2227,8.22798,56,56,3.46387
39,7.6515,7.12884,49,49,4.07102
31,16.3872,0.438982,39,39,3.37599
35,3.7027,0.0969336,44,44,4.4295
49,1.90557,6.48025,62,62,3.20279
41,18.329,4.51612,52,52,2.68332
50,12.4472,0.151219,63,63,4.43241
45,1.14264,1.47442,57,57,3.53912
41,4.31088,9.52766,52,52,3.53049
36,12.4784,0.569984,45,45,5.5875
50,2.64638,9.33036,63,63,4.47415
36,2.41468,1.69341,45,45,5.78319
47,11.2483,0.634101,59,59,4.00948
42,8.7902,1.60658,53,53,6.20711
32,14.7974,5.77067,40,40,4.28526
37,7.69083,3.19819,47,47,2.63897
47,13.5371,6.11227,59,59,4.43983
36,13.4711,3.13588,45,45,4.68669
47,5.49494,1.77428,59,59,4.29593
42,15.1374,4.66188,53,53,6.24922
30,15.5376,7.78593,38,38,6.122
46,6.40405,2.65847,58,58,2.56997
44,14.1106,2.90097,56,56,4.39238
50,13.1245,4.63856,63,63,3.17939
42,6.82763,2.04188,53,53,5.35399
39,12.7278,9.64904,49,49,3.87343
50,14.6349,9.82146,63,63,3.84501
42,10.8456,5.003,53,53,5.65456
48,8.99602,0.956404,61,61,4.07782
47,2.3639,8.72878,59,59,3.94558
42,5.16643,0.323704,53,53,5.21317
50,14.2986,4.55723,63,63,2.47683
32,13.9072,1.18799,40,40,4.23934
44,9.97266,4.9075,56,56,2.48511
30,16.5935,9.22691,38,38,6.25386
31,19.1169,0.773594,39,39,3.87014
34,2.46748,7.10519,43,43,2.74267
36,6.14728,5.13171,45,45,5.52461
33,5.73972,5.87867,42,42,4.75822
45,9.37353,2.12715,57,57,3.08601
39,4.39095,4.77037,49,49,4.14024
35,9.15407,3.13193,44,44,4.48932
37,8.51746,4.1278,47,47,3.01303
33,13.2332,9.59664,42,42,4.60071
48,16.4911,4.79217,61,61,3.96281
32,1.15548,1.32285,40,40,4.53584
33,15.7316,4.97719,42,42,3.87881
30,9.44277,3.05164,38,38,4.87537
36,7.25058,5.20961,45,45,4.35311
41,16.9589,6.2699,52,52,3.12947
33,14.3656,5.92948,42,42,4.71601
38,4.94599,4.16314,48,48,3.12586
44,4.66198,7.69816,56,56,4.60589
36,4.25478,8.94061,45,45,5.00956
31,15.3534,5.07671,39,39,3.80852
50,11.1848,9.15968,63,63,3.2132
48,10.5688,9.44877,61,61,4.16066
50,10.3783,2.95506,63,63,3.43883
46,15.3986,6.48535,58,58,3.18637
31,17.6775,4.27616,39,39,3.65419
40,4.62925,6.0432,50,50,4.35665
33,5.58221,2.43517,42,42,5.10613
43,13.6894,6.12185,54,54,4.04465
39,18.5423,7.29093,49677,49665,4.05452
34,17.8256,1.77806,43308,43282,3.14709
37,1.38654,7.48977,47129,47089,4.35612
21,14.696,8.31155,26749,26722,4.00349
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
50,160,100,20,159,40
93,19.4116,3.21463,118461,118309,27.0674
84,13.648,4.41356,106997,106970,8.22782
100,5.15132,8.3378,127377,126462,95.9097
96,3.36126,5.86877,122283,121514,127.139
44,13.4159,0.221731,56,56,4.32422
31,5.7138,8.05712,39,39,3.83907
47,17.8928,2.94095,59,59,2.84914
30,15.6274,6.59957,38,38,5.1018
