scenarios,1
seeds per scenario,20
notes,wifin_alg_mob. 2-100-6
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-28_15:06:48.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-28_15:06:48.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,2
155,80,800,6,20
channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,2
155,80,800,6,20
97,19.7058,6.60734,8237,8223,1.66734
92,6.82402,7.20681,7812,7726,1.75485
47,2.57566,4.1689,3,3,23.3042
41,1.68068,2.93441,3,3,37.8162
38,16.708,5.11087,3,3,38.1531
30,2.85695,9.02856,2,2,66.1007
39,8.94646,6.47048,3,3,41.5357
49,7.81375,3.29978,4,4,16.0163
43,7.19636,6.03087,3,3,31.8203
43,8.12122,4.5676,3,3,35.6922
35,7.77911,6.4921,2,2,55.214
32,7.68104,3.05435,2,2,50.6412
47,18.9235,6.23924,3,3,24.771
43,5.75861,3.28492,3,3,30.412
47,17.8125,3.11645,3,3,29.6935
39,12.3559,1.72151,3,3,41.6082
44,13.4044,6.63499,3,3,37.7749
42,2.33199,7.84704,3,3,35.8973
43,14.9798,9.81128,3,3,30.7346
50,16.0783,8.14825,4,4,11.8335
46,10.3269,6.09847,3,3,26.935
42,18.6914,0.664084,3,3,45.5538
49,17.0426,1.77422,4,4,12.1836
42,5.00221,2.0515,3,3,44.5866
33,17.3377,3.92676,2,2,56.1272
49,16.6755,1.78956,4,4,14.1692
30,0.198256,7.06927,2,2,66.6738
42,3.35502,6.88841,3,3,40.0533
31,2.50437,6.64761,2,2,59.759
39,1.19319,3.32234,3,3,39.4317
32,1.81331,7.81129,2,2,55.8272
48,2.01261,2.38093,4,4,17.4983
36,2.43821,5.27299,3,3,40.7628
47,13.7617,5.22926,3,3,23.0976
42,1.89628,8.65967,3,3,33.4586
47,18.6602,4.86988,3,0,-nan
44,8.98245,8.7793,3,3,29.1382
46,1.7097,0.504838,3,3,32.6497
50,4.03646,8.02916,4,4,11.3706
44,18.9621,7.00127,3,3,29.4846
39,17.31,8.03726,3,3,42.1643
31,14.2227,8.22798,2,2,57.2889
35,7.6515,7.12884,2,2,55.5354
49,16.3872,0.438982,4,4,27.2586
41,3.7027,0.0969336,3,3,37.3747
50,1.90557,6.48025,4,4,21.2954
45,18.329,4.51612,3,3,30.1176
41,12.4472,0.151219,3,3,40.8243
36,1.14264,1.47442,3,3,39.323
50,4.31088,9.52766,4,4,7.24241
36,12.4784,0.569984,3,3,39.0316
47,2.64638,9.33036,3,3,27.1779
42,2.41468,1.69341,3,3,40.1539
32,11.2483,0.634101,2,2,52.4082
37,8.7902,1.60658,3,3,37.4579
47,14.7974,5.77067,3,3,30.3685
36,7.69083,3.19819,3,3,38.6963
47,13.5371,6.11227,3,3,27.8247
42,13.4711,3.13588,3,3,33.7481
30,5.49494,1.77428,2,2,63.7584
46,15.1374,4.66188,3,3,30.3814
44,15.5376,7.78593,3,3,33.6897
50,6.40405,2.65847,4,4,8.54651
42,14.1106,2.90097,3,3,43.1531
39,13.1245,4.63856,3,3,40.7211
50,6.82763,2.04188,4,4,8.38269
42,12.7278,9.64904,3,3,41.8112
48,14.6349,9.82146,4,4,21.6665
47,10.8456,5.003,3,3,18.4421
42,8.99602,0.956404,3,0,-nan
50,2.3639,8.72878,4,4,14.1567
32,5.16643,0.323704,2,2,57.95
44,14.2986,4.55723,3,3,31.4423
30,13.9072,1.18799,2,2,55.8287
31,9.97266,4.9075,2,2,55.8272
34,16.5935,9.22691,2,2,52.4145
36,19.1169,0.773594,3,3,42.7063
33,2.46748,7.10519,2,2,54.1423
45,6.14728,5.13171,3,3,26.1404
39,5.73972,5.87867,3,3,39.3333
35,9.37353,2.12715,2,2,57.006
37,4.39095,4.77037,3,3,37.1675
33,9.15407,3.13193,2,2,49.504
48,8.51746,4.1278,4,4,12.6708
32,13.2332,9.59664,2,2,50.3243
33,16.4911,4.79217,2,2,52.7585
30,1.15548,1.32285,2,2,56.4872
36,15.7316,4.97719,3,3,38.5597
41,9.44277,3.05164,3,3,38.2638
33,7.25058,5.20961,2,2,52.8117
38,16.9589,6.2699,3,3,40.2519
44,14.3656,5.92948,3,3,31.1653
36,4.94599,4.16314,3,3,37.9072
31,4.66198,7.69816,2,2,60.7735
50,4.25478,8.94061,4,0,-nan
48,15.3534,5.07671,4,4,24.6937
50,11.1848,9.15968,4,4,5.39346
46,10.5688,9.44877,3,3,25.5641
31,10.3783,2.95506,2,2,54.6714
40,15.3986,6.48535,3,3,38.8153
33,17.6775,4.27616,2,2,49.0553
43,4.62925,6.0432,3,3,33.4236
39,5.58221,2.43517,3311,3283,2.67162
34,13.6894,6.12185,2887,2824,5.11095
37,18.5423,7.29093,3141,3117,4.7859
21,17.8256,1.77806,1783,0,-nan
21,1.38654,7.48977,1783,1704,4.23595
28,14.696,8.31155,2377,2303,4.02985
channelNumber, channelWidth, gi, mcs, txPower
42,80,800,6,20
100,20,1600,1,3
155,80,800,6,20
97,19.7058,6.60734,16474,16398,1.68839
92,6.82402,7.20681,15624,15476,2.2336
47,2.57566,4.1689,7,6,14.0608
41,1.68068,2.93441,6,6,21.7966
38,16.708,5.11087,6,6,21.3524
30,2.85695,9.02856,5,5,32.2615
39,8.94646,6.47048,6,6,23.5509
49,7.81375,3.29978,8,8,10.7185
43,7.19636,6.03087,7,7,17.2218
43,8.12122,4.5676,7,7,17.6383
35,7.77911,6.4921,5,4,34.2849
32,7.68104,3.05435,5,4,28.2925
47,18.9235,6.23924,7,6,14.9646
43,5.75861,3.28492,7,6,17.9716
47,17.8125,3.11645,7,6,19.0216
39,12.3559,1.72151,6,6,24.1753
44,13.4044,6.63499,7,7,19.8626
42,2.33199,7.84704,7,7,19.5031
43,14.9798,9.81128,7,7,16.2894
50,16.0783,8.14825,8,8,10.1182
46,10.3269,6.09847,7,6,14.064
42,18.6914,0.664084,7,7,24.0445
49,17.0426,1.77422,8,8,9.87676
42,5.00221,2.0515,7,7,27.1512
33,17.3377,3.92676,5,4,29.7772
49,16.6755,1.78956,8,8,11.0044
30,0.198256,7.06927,5,5,33.4807
42,3.35502,6.88841,7,7,22.3308
31,2.50437,6.64761,5,5,28.6207
39,1.19319,3.32234,6,6,22.5572
32,1.81331,7.81129,5,5,27.0849
48,2.01261,2.38093,8,8,14.6167
36,2.43821,5.27299,6,6,25.7056
47,13.7617,5.22926,7,6,15.0004
42,1.89628,8.65967,7,7,18.1824
47,18.6602,4.86988,7,0,-nan
44,8.98245,8.7793,7,7,14.9026
46,1.7097,0.504838,7,6,18.3758
50,4.03646,8.02916,8,8,7.1659
44,18.9621,7.00127,7,6,18.1101
39,17.31,8.03726,6,6,24.3264
31,14.2227,8.22798,5,5,24.7782
35,7.6515,7.12884,5,4,31.3655
49,16.3872,0.438982,8,8,16.2566
41,3.7027,0.0969336,6,6,21.2408
50,1.90557,6.48025,8,8,13.7125
45,18.329,4.51612,7,6,17.9447
41,12.4472,0.151219,6,6,22.8494
36,1.14264,1.47442,6,6,27.1173
50,4.31088,9.52766,8,8,7.4825
36,12.4784,0.569984,6,6,21.9537
47,2.64638,9.33036,7,6,17.7219
42,2.41468,1.69341,7,6,27.1384
32,11.2483,0.634101,5,5,23.8943
37,8.7902,1.60658,6,6,20.078
47,14.7974,5.77067,7,6,20.6365
36,7.69083,3.19819,6,6,24.3383
47,13.5371,6.11227,7,6,17.2965
42,13.4711,3.13588,7,7,22.1928
30,5.49494,1.77428,5,5,33.82
46,15.1374,4.66188,7,6,17.2212
44,15.5376,7.78593,7,7,19.1116
50,6.40405,2.65847,8,8,8.57824
42,14.1106,2.90097,7,7,22.9399
39,13.1245,4.63856,6,6,23.2417
50,6.82763,2.04188,8,8,7.41627
42,12.7278,9.64904,7,7,23.2719
48,14.6349,9.82146,8,8,12.7751
47,10.8456,5.003,7,6,9.80258
42,8.99602,0.956404,7,0,-nan
50,2.3639,8.72878,8,8,10.6701
32,5.16643,0.323704,5,4,33.0737
44,14.2986,4.55723,7,7,16.7054
30,13.9072,1.18799,5,5,24.0615
31,9.97266,4.9075,5,5,24.859
