scenarios,1
seeds per scenario,20
notes,wifin_naive_mob. 2-100-6
arg_list[0],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 1, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_10:59:43.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
arg_list[9],"{'channelWidthA': 0, 'channelWidthB': 0, 'channelWidthC': 0, 'seed': 10, 'giC': 1600, 'giB': 1600, 'giA': 1600, 'constantMcs': 1, 'channelNumberA': 0, 'channelNumberB': 0, 'channelNumberC': 0, 'phyModel': 'spectrum', 'simulationTime': 15, 'nStaA': 2, 'band': 'AX_5', 'nStaC': 6, 'nStaB': 100, 'csvFileName': './scratch/testfile_2020-05-27_10:59:43.csv', 'mcs': 5, 'txPowerA': 20, 'txPowerC': 20, 'txPowerB': 20}"
channelNumberA, channelWidthA, channelNumberB, channelWidthB, channelNumberC, channelWidthC
42,80,100,20,155,80
97,19.7058,6.60734,123556,123546,2.55399
92,6.82402,7.20681,117187,117116,2.52266
47,2.57566,4.1689,59,59,3.99546
41,1.68068,2.93441,52,52,3.09877
38,16.708,5.11087,48,48,3.25949
30,2.85695,9.02856,38,38,6.54321
39,8.94646,6.47048,49,49,4.10699
49,7.81375,3.29978,62,62,2.49796
43,7.19636,6.03087,54,54,3.35967
43,8.12122,4.5676,54,54,3.5727
35,7.77911,6.4921,44,44,4.23862
32,7.68104,3.05435,40,40,4.51628
47,18.9235,6.23924,59,59,4.05252
43,5.75861,3.28492,54,54,3.0117
47,17.8125,3.11645,59,59,4.20451
39,12.3559,1.72151,49,49,4.59046
44,13.4044,6.63499,56,56,3.87475
42,2.33199,7.84704,53,53,5.59142
43,14.9798,9.81128,54,54,3.81644
50,16.0783,8.14825,63,63,3.56835
46,10.3269,6.09847,58,58,2.66071
42,18.6914,0.664084,53,53,5.627
49,17.0426,1.77422,62,62,2.71501
42,5.00221,2.0515,53,53,5.9522
33,17.3377,3.92676,42,42,4.82524
49,16.6755,1.78956,62,62,2.77737
30,0.198256,7.06927,38,38,6.18794
42,3.35502,6.88841,53,53,5.08306
31,2.50437,6.64761,39,39,3.14723
39,1.19319,3.32234,49,49,4.86242
32,1.81331,7.81129,40,40,5.06034
48,2.01261,2.38093,61,61,3.91208
36,2.43821,5.27299,45,45,6.17871
47,13.7617,5.22926,59,59,4.07483
42,1.89628,8.65967,53,53,6.36728
47,18.6602,4.86988,59,59,3.59654
44,8.98245,8.7793,56,56,4.28717
46,1.7097,0.504838,58,58,3.26208
50,4.03646,8.02916,63,63,3.92276
44,18.9621,7.00127,56,56,4.5121
39,17.31,8.03726,49,49,4.41829
31,14.2227,8.22798,39,39,3.43824
35,7.6515,7.12884,44,44,3.95913
49,16.3872,0.438982,62,62,2.80722
41,3.7027,0.0969336,52,52,2.95102
