scenarios,1
seeds per scenario,20
notes,wifin_alg_simple. 6-100-2
arg_list[0],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 1, 'csvFileName': './scratch/testfile_2020-05-23_14:08:44.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
arg_list[9],"{'channelWidthA': 80, 'mcsA': 5, 'channelWidthC': 40, 'simulationTime': 15, 'channelNumberB': 100, 'txPowerA': 20, 'channelWidthB': 20, 'txPowerC': 20, 'txPowerB': 3, 'constantMcs': 1, 'band': 'AX_5', 'seed': 10, 'csvFileName': './scratch/testfile_2020-05-23_14:08:44.csv', 'channelNumberA': 42, 'giA': 800, 'channelNumberC': 159, 'phyModel': 'spectrum', 'giC': 800, 'mcsC': 5, 'mcsB': 1, 'giB': 1600}"
init_channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,6,20
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,2
159,40,800,6,20
97,19.7058,6.60734,8237,7090,53.2714
92,6.82402,7.20681,7812,6515,85.4292
90,2.57566,4.1689,7642,5928,151.006
88,1.68068,2.93441,7472,5078,110.51
87,16.708,5.11087,7387,6141,74.4401
96,2.85695,9.02856,8152,5923,102.039
47,8.94646,6.47048,3,3,24.8182
41,7.81375,3.29978,3,3,41.9207
38,7.19636,6.03087,3,3,40.9276
30,8.12122,4.5676,2,2,72.2441
39,7.77911,6.4921,3,3,44.9291
49,7.68104,3.05435,4,4,18.8057
43,18.9235,6.23924,3,3,36.2975
43,5.75861,3.28492,3,3,35.59
35,17.8125,3.11645,2,2,60.2222
32,12.3559,1.72151,2,2,60.7007
47,13.4044,6.63499,3,3,24.9327
43,2.33199,7.84704,3,3,42.422
47,14.9798,9.81128,3,3,35.9562
39,16.0783,8.14825,3,3,42.9402
44,10.3269,6.09847,3,3,29.686
42,18.6914,0.664084,3,3,39.7608
43,17.0426,1.77422,3,3,33.0999
50,5.00221,2.0515,4,4,12.1238
46,17.3377,3.92676,3,3,26.6351
42,16.6755,1.78956,3,3,45.3849
49,0.198256,7.06927,4,4,16.3909
42,3.35502,6.88841,3,3,46.5408
33,2.50437,6.64761,2,2,60.4817
49,1.19319,3.32234,4,4,16.328
30,1.81331,7.81129,2,2,72.2711
42,2.01261,2.38093,3,3,43.4337
31,2.43821,5.27299,2,2,67.1354
39,13.7617,5.22926,3,3,41.4475
32,1.89628,8.65967,2,2,64.8688
48,18.6602,4.86988,4,4,19.1324
36,8.98245,8.7793,3,3,39.261
47,1.7097,0.504838,3,3,30.8914
42,4.03646,8.02916,3,3,37.9429
47,18.9621,7.00127,3,3,34.7989
44,17.31,8.03726,3,3,35.5489
46,14.2227,8.22798,3,3,31.3531
50,7.6515,7.12884,4,4,8.69828
44,16.3872,0.438982,3,3,31.0068
39,3.7027,0.0969336,3,3,41.8782
31,1.90557,6.48025,2,2,60.4514
35,18.329,4.51612,2,2,57.9225
49,12.4472,0.151219,4,4,17.4296
41,1.14264,1.47442,3,3,40.2986
50,4.31088,9.52766,4,4,14.2031
45,12.4784,0.569984,3,3,31.0316
41,2.64638,9.33036,3,3,42.4925
36,2.41468,1.69341,3,3,44.7094
50,11.2483,0.634101,4,4,14.4528
36,8.7902,1.60658,3,3,41.516
47,14.7974,5.77067,3,3,23.6674
42,7.69083,3.19819,3,3,38.4676
32,13.5371,6.11227,2,2,64.5525
37,13.4711,3.13588,3,3,39.56
47,5.49494,1.77428,3,3,29.4297
36,15.1374,4.66188,3,3,43.8437
47,15.5376,7.78593,3,3,26.3146
42,6.40405,2.65847,3,3,42.9574
30,14.1106,2.90097,2,2,68.9189
46,13.1245,4.63856,3,3,24.6508
44,6.82763,2.04188,3,3,32.9934
50,12.7278,9.64904,4,4,9.97662
42,14.6349,9.82146,3,3,47.4489
39,10.8456,5.003,3,3,44.4697
50,8.99602,0.956404,4,4,13.8118
42,2.3639,8.72878,3,3,40.4775
48,5.16643,0.323704,4,4,17.7228
47,14.2986,4.55723,3,3,36.2867
42,13.9072,1.18799,3,3,38.251
50,9.97266,4.9075,4,4,9.41157
32,16.5935,9.22691,2,2,53.565
44,19.1169,0.773594,3,3,33.7348
30,2.46748,7.10519,2,2,68.4773
31,6.14728,5.13171,2,2,63.0509
34,5.73972,5.87867,2,2,56.1729
36,9.37353,2.12715,3,3,40.1031
33,4.39095,4.77037,2,2,57.4555
45,9.15407,3.13193,3,3,32.521
39,8.51746,4.1278,3,3,42.2142
35,13.2332,9.59664,2,2,61.0939
37,16.4911,4.79217,3,3,39.9255
33,1.15548,1.32285,2,2,53.4823
48,15.7316,4.97719,4,4,30.5089
32,9.44277,3.05164,2,2,62.7485
33,7.25058,5.20961,2,2,53.1838
30,16.9589,6.2699,2,2,67.2844
36,14.3656,5.92948,3,3,43.9689
41,4.94599,4.16314,3,3,44.3802
33,4.66198,7.69816,2,2,56.2716
38,4.25478,8.94061,3,3,41.9883
44,15.3534,5.07671,3,3,37.841
36,11.1848,9.15968,3,3,42.4816
31,10.5688,9.44877,2,2,71.7334
50,10.3783,2.95506,4,4,5.63587
48,15.3986,6.48535,4,4,16.0428
50,17.6775,4.27616,4,4,7.23744
46,4.62925,6.0432,3,3,26.9351
31,5.58221,2.43517,2,2,63.4845
40,13.6894,6.12185,3,3,41.2258
33,18.5423,7.29093,2,2,55.9987
43,17.8256,1.77806,3,3,35.7372
39,1.38654,7.48977,3311,3287,1.26855
34,14.696,8.31155,2887,2844,1.33033
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,3
159,40,800,6,20
97,19.7058,6.60734,16474,11946,67.74
92,6.82402,7.20681,15624,14266,54.7932
90,2.57566,4.1689,15285,12910,94.6169
88,1.68068,2.93441,14945,6418,109.77
87,16.708,5.11087,14775,13757,65.1942
96,2.85695,9.02856,16304,13636,62.1847
47,8.94646,6.47048,7,6,17.2036
41,7.81375,3.29978,6,6,22.9117
38,7.19636,6.03087,6,6,22.1624
30,8.12122,4.5676,5,5,36.3435
39,7.77911,6.4921,6,6,24.885
49,7.68104,3.05435,8,8,12.5033
43,18.9235,6.23924,7,7,19.5258
43,5.75861,3.28492,7,6,19.5506
35,17.8125,3.11645,5,4,33.5974
32,12.3559,1.72151,5,5,28.4626
47,13.4044,6.63499,7,6,16.3118
43,2.33199,7.84704,7,7,21.1287
47,14.9798,9.81128,7,6,23.276
39,16.0783,8.14825,6,6,25.4485
44,10.3269,6.09847,7,6,17.2606
42,18.6914,0.664084,7,7,25.6347
43,17.0426,1.77422,7,7,16.5584
50,5.00221,2.0515,8,8,10.0589
46,17.3377,3.92676,7,6,16.0395
42,16.6755,1.78956,7,7,27.0121
49,0.198256,7.06927,8,8,10.731
42,3.35502,6.88841,7,7,26.6236
33,2.50437,6.64761,5,4,36.2434
49,1.19319,3.32234,8,8,11.3503
30,1.81331,7.81129,5,5,35.3077
42,2.01261,2.38093,7,7,23.5276
31,2.43821,5.27299,5,5,29.2012
39,13.7617,5.22926,6,6,23.8803
32,1.89628,8.65967,5,5,28.7856
48,18.6602,4.86988,8,8,11.4047
36,8.98245,8.7793,6,6,25.3498
47,1.7097,0.504838,7,6,18.2336
42,4.03646,8.02916,7,7,20.0834
47,18.9621,7.00127,7,6,20.2339
44,17.31,8.03726,7,7,17.981
46,14.2227,8.22798,7,6,17.9977
50,7.6515,7.12884,8,8,8.94246
44,16.3872,0.438982,7,7,15.7159
39,3.7027,0.0969336,6,6,24.1316
31,1.90557,6.48025,5,5,26.9774
35,18.329,4.51612,5,4,33.6881
49,12.4472,0.151219,8,8,11.2809
41,1.14264,1.47442,6,6,22.8013
50,4.31088,9.52766,8,8,11.1663
45,12.4784,0.569984,7,6,18.6142
41,2.64638,9.33036,6,6,26.2994
36,2.41468,1.69341,6,6,24.4062
50,11.2483,0.634101,8,8,12.723
36,8.7902,1.60658,6,6,24.4413
47,14.7974,5.77067,7,6,15.8475
42,7.69083,3.19819,7,7,21.0036
32,13.5371,6.11227,5,4,36.9632
37,13.4711,3.13588,6,6,21.0132
47,5.49494,1.77428,7,6,17.515
36,15.1374,4.66188,6,6,30.5103
47,15.5376,7.78593,7,6,18.8417
42,6.40405,2.65847,7,7,22.7179
30,14.1106,2.90097,5,5,33.9076
46,13.1245,4.63856,7,6,14.2135
44,6.82763,2.04188,7,7,16.9421
50,12.7278,9.64904,8,8,8.48093
42,14.6349,9.82146,7,7,24.8471
39,10.8456,5.003,6,6,26.1803
50,8.99602,0.956404,8,8,9.78341
42,2.3639,8.72878,7,7,21.7079
48,5.16643,0.323704,8,8,14.01
47,14.2986,4.55723,7,6,21.7485
42,13.9072,1.18799,7,7,21.214
50,9.97266,4.9075,8,8,8.57097
32,16.5935,9.22691,5,4,30.384
44,19.1169,0.773594,7,6,20.8908
30,2.46748,7.10519,5,5,31.4955
31,6.14728,5.13171,5,5,26.6838
34,5.73972,5.87867,5,4,30.9921
36,9.37353,2.12715,6,6,25.2098
33,4.39095,4.77037,5,4,33.3797
45,9.15407,3.13193,7,6,19.0119
39,8.51746,4.1278,6,6,23.1882
35,13.2332,9.59664,5,4,36.2564
37,16.4911,4.79217,6,6,22.9186
33,1.15548,1.32285,5,4,33.6127
48,15.7316,4.97719,8,8,21.1535
32,9.44277,3.05164,5,4,34.8048
33,7.25058,5.20961,5,4,29.4218
30,16.9589,6.2699,5,5,32.9323
36,14.3656,5.92948,6,6,25.4527
41,4.94599,4.16314,6,6,24.213
33,4.66198,7.69816,5,4,30.7432
38,4.25478,8.94061,6,6,22.8612
44,15.3534,5.07671,7,6,21.0846
36,11.1848,9.15968,6,6,24.4331
31,10.5688,9.44877,5,5,32.2346
50,10.3783,2.95506,8,8,6.21748
48,15.3986,6.48535,8,8,12.1603
50,17.6775,4.27616,8,8,9.77798
46,4.62925,6.0432,7,6,15.1227
31,5.58221,2.43517,5,5,28.8592
40,13.6894,6.12185,6,6,21.5854
33,18.5423,7.29093,5,4,33.1481
43,17.8256,1.77806,7,7,18.6306
39,1.38654,7.48977,6623,6558,1.26077
34,14.696,8.31155,5774,5703,1.327
channelNumber, channelWidth, gi, mcs, txPower
50,160,800,6,20
100,20,1600,1,3
159,40,800,6,20
97,19.7058,6.60734,24711,20840,74.0417
92,6.82402,7.20681,23437,21200,46.1833
90,2.57566,4.1689,22928,20015,85.1571
88,1.68068,2.93441,22418,6418,109.77
87,16.708,5.11087,22163,20398,73.502
96,2.85695,9.02856,24456,20351,83.2314
47,8.94646,6.47048,11,9,14.4131
41,7.81375,3.29978,10,9,16.3111
38,7.19636,6.03087,9,9,16.03
30,8.12122,4.5676,7,7,28.9771
39,7.77911,6.4921,9,9,18.7527
49,7.68104,3.05435,12,12,9.25198
43,18.9235,6.23924,10,10,15.77
43,5.75861,3.28492,10,9,14.2544
35,17.8125,3.11645,8,6,27.0586
32,12.3559,1.72151,8,8,21.2597
47,13.4044,6.63499,11,9,13.2589
43,2.33199,7.84704,10,10,16.4332
47,14.9798,9.81128,11,9,17.8085
39,16.0783,8.14825,9,9,18.7288
44,10.3269,6.09847,11,10,12.6358
42,18.6914,0.664084,10,10,18.8532
43,17.0426,1.77422,10,10,13.3655
50,5.00221,2.0515,12,12,9.25622
46,17.3377,3.92676,11,9,12.7041
42,16.6755,1.78956,10,10,20.9703
49,0.198256,7.06927,12,12,7.97044
42,3.35502,6.88841,10,10,20.0063
33,2.50437,6.64761,8,7,22.8829
49,1.19319,3.32234,12,12,8.81378
30,1.81331,7.81129,7,7,27.6178
42,2.01261,2.38093,10,10,18.6375
31,2.43821,5.27299,7,7,21.8816
39,13.7617,5.22926,9,9,17.4506
32,1.89628,8.65967,8,8,22.2758
48,18.6602,4.86988,12,12,10.3419
36,8.98245,8.7793,9,9,21.7934
47,1.7097,0.504838,11,9,15.0187
42,4.03646,8.02916,10,10,17.3466
47,18.9621,7.00127,11,9,16.7883
44,17.31,8.03726,11,11,14.9517
46,14.2227,8.22798,11,9,13.6357
50,7.6515,7.12884,12,12,8.92326
44,16.3872,0.438982,11,11,12.3687
39,3.7027,0.0969336,9,8,19.6558
31,1.90557,6.48025,7,7,21.4058
35,18.329,4.51612,8,6,25.1437
49,12.4472,0.151219,12,12,8.75298
41,1.14264,1.47442,10,9,17.2486
